Natrix maura
Natrix natrix
Natrix tessellata
Naucoria subconspersa
Neckera pumila
Nemania serpens
Nemoura obtusa
Neomys anomalus
Neomys fodiens
Nepeta cataria
Nepeta nuda
Nephroma bellum
Nephroma parile
Nephroma resupinatum
Neptis rivularis
Neslia paniculata
Netta rufina
Nigella arvensis
Nigritella austriaca
Nigritella rubra
Nomada flavopicta
Nomada hirtipes
Nomada lathburiana
Notodonta tritophus
Nyctalus leisleri
Nyctalus noctula
Nymphaea alba
Nymphalis antiopa
Oberea erythrocephala
Ochrolechia arborea
Ochrolechia szatalaensis
Ochrolechia turneri
Odontites vernus
Odontites viscosus
Odontites vulgaris
Odontoschisma elongatum
Odontosia carmelita
Oedipoda caerulescens
Oedipoda germanica
Oligolimax annularis
Oligotricha striata
Omocestus haemorrhoidalis
Omocestus rufipes
Omphalina pyxidata
Onobrychis arenaria
Ononis pusilla
Onopordum acanthium
Onosma pseudoarenaria
Ophioglossum vulgatum
Ophiogomphus cecilia
Ophrys apifera
Ophrys araneola
Ophrys holosericea elatior
Ophrys holosericea
Ophrys insectifera
Ophrys sphegodes
Opsilia coerulescens
Orchis coriophora
Orchis militaris
Orchis morio
Orchis pallens
Orchis palustris
Orchis purpurea
Orchis simia
Orchis tridentata
Orchis ustulata
Orcula dolium
Orlaya grandiflora
Ornithogalum nutans
Ornithogalum pyrenaicum
Orobanche arenaria
Orobanche elatior
Orobanche gracilis
Orobanche lutea
Orobanche purpurea
Orobanche teucrii
Orthetrum albistylum
Orthotrichum alpestre
Orthotrichum patens
Orthotrichum rogeri
Oryctolagus cuniculus
Osmia niveata
Osmia rufohirta
Osmia uncinata
Osmunda regalis
Otidea alutacea
Otus scops
Oxychilus alliarius
Oxygastra curtisii
Oxyloma elegans
Oxymirus cursor
Oxythyrea funesta
Oxytropis fetida
Oxytropis halleri halleri
Oxytropis halleri
Oxytropis helvetica
Oxytropis pilosa
Paeonia officinalis
Panaeolus acuminatus
Panagaeus bipustulatus
Pannaria conoplea
Panurgus calcaratus
Panurgus dentipes
Panurus biarmicus
Panus tigrinus
Papaver argemone
Papaver aurantiacum
Parachiona picicornis
Parmelia acetabulum
Parmelia elegantula
Parmelia exasperata
Parmelia flaventior
Parmelia glabra
Parmelia pastillifera
Parmeliella triptophylla
Parmotrema chinense
Parnassius apollo
Parnassius mnemosyne
Pedicularis aspleniifolia
Pedicularis palustris
